"","iphone","iphonedisunc","samsungperpos","samsungcampos","samsungperneg","samsungcamneg","iphonecamunc","ios","htcperneg","googleandroid","iphonecamneg","samsungdisneg","samsungperunc","samsungdispos","iphonedisneg","googleperneg","googleperpos","htccamunc","samsunggalaxy","iphonedispos","iphoneperpos","htcphone","samsungcamunc","htccamneg","iphonecampos","htcdisneg","htcdisunc","googleperunc","samsungdisunc","htcdispos","htccampos","iphoneperunc","iphoneperneg","sonyxperia","htcperpos","htcperunc","iphonesentiment"
"92",11,1,3,3,5,5,1,0,5,2,5,5,1,3,5,5,3,1,1,3,3,1,1,5,3,5,1,1,1,3,3,1,5,0,3,1,"negative"
"93",11,1,3,3,5,5,1,0,5,2,5,5,1,3,5,5,3,1,1,3,3,1,1,5,3,5,1,1,1,3,3,1,5,0,3,1,"negative"
"94",11,1,3,3,5,5,1,0,5,2,5,5,1,3,5,5,3,1,1,3,3,1,1,5,3,5,1,1,1,3,3,1,5,0,3,1,"negative"
"95",11,1,3,3,5,5,1,0,5,2,5,5,1,3,5,5,3,1,1,3,3,1,1,5,3,5,1,1,1,3,3,1,5,0,3,1,"negative"
"96",11,1,3,3,5,5,1,0,5,2,5,5,1,3,5,5,3,1,1,3,3,1,1,5,3,5,1,1,1,3,3,1,5,0,3,1,"negative"
"97",11,1,3,3,5,5,1,0,5,2,5,5,1,3,5,5,3,1,1,3,3,1,1,5,3,5,1,1,1,3,3,1,5,0,3,1,"negative"
"98",11,1,3,3,5,5,1,0,5,2,5,5,1,3,5,5,3,1,1,3,3,1,1,5,3,5,1,1,1,3,3,1,5,0,3,1,"negative"
"99",11,1,3,3,5,5,1,0,5,2,5,5,1,3,5,5,3,1,1,3,3,1,1,5,3,5,1,1,1,3,3,1,5,0,3,1,"negative"
"100",11,1,3,3,5,5,1,0,5,2,5,5,1,3,5,5,3,1,1,3,3,1,1,5,3,5,1,1,1,3,3,1,5,0,3,1,"negative"
"101",11,1,3,3,5,5,1,0,5,2,5,5,1,3,5,5,3,1,1,3,3,1,1,5,3,5,1,1,1,3,3,1,5,0,3,1,"negative"
"102",11,1,3,3,5,5,1,0,5,2,5,5,1,3,5,5,3,1,1,3,3,1,1,5,3,5,1,1,1,3,3,1,5,0,3,1,"negative"
"103",11,1,3,3,5,5,1,0,5,2,5,5,1,3,5,5,3,1,1,3,3,1,1,5,3,5,1,1,1,3,3,1,5,0,3,1,"negative"
"104",11,1,3,3,5,5,1,0,5,2,5,5,1,3,5,5,3,1,1,3,3,1,1,5,3,5,1,1,1,3,3,1,5,0,3,1,"negative"
"105",11,1,3,3,5,5,1,0,5,2,5,5,1,3,5,5,3,1,1,3,3,1,1,5,3,5,1,1,1,3,3,1,5,0,3,1,"negative"
"106",11,1,3,3,5,5,1,0,5,2,5,5,1,3,5,5,3,1,1,3,3,1,1,5,3,5,1,1,1,3,3,1,5,0,3,1,"negative"
"107",11,1,3,3,5,5,1,0,5,2,5,5,1,3,5,5,3,1,1,3,3,1,1,5,3,5,1,1,1,3,3,1,5,0,3,1,"negative"
"108",11,1,3,3,5,5,1,0,5,2,5,5,1,3,5,5,3,1,1,3,3,1,1,5,3,5,1,1,1,3,3,1,5,0,3,1,"negative"
"109",11,1,3,3,5,5,1,0,5,2,5,5,1,3,5,5,3,1,1,3,3,1,1,5,3,5,1,1,1,3,3,1,5,0,3,1,"negative"
"110",11,1,3,3,5,5,1,0,5,2,5,5,1,3,5,5,3,1,1,3,3,1,1,5,3,5,1,1,1,3,3,1,5,0,3,1,"negative"
"111",11,1,3,3,5,5,1,0,5,2,5,5,1,3,5,5,3,1,1,3,3,1,1,5,3,5,1,1,1,3,3,1,5,0,3,1,"negative"
